x,y
-32680.666,-45618.5625
-28129.3652,-54991.2695
-27919.0527,-55794.9492
-27940.5312,-56735.7031
-27526.5508,-57623.7695
-26395.3574,-58607.8984
-26518.1211,-59126.6602
-25970.9805,-59684.1211
-24699.1484,-62025.8945
-24296.5586,-63904.8477
-24591.1992,-64468.7148
-25132.6484,-64943.5508
-25039.998,-65780.5078
-24703.8086,-66245.8125
-24371.2422,-66388.4141
-23642.832,-68191.0937
-22507.6719,-70120.1875
-21853.6816,-70705.8047
-20184.6875,-73838.2266
-20005.1992,-73946.8828
-19125.6387,-75503.3516
-18017.5078,-78122.6797
-16592.7949,-79540.1953
-16167.4512,-80547.4687
-16518.8809,-81835.7891
-16261.1406,-82895.8125
-15767.7939,-83839.6172
-12765.5332,-86372.5859
-9334.2363,-87998.2969
-7896.2759,-88451.2187
-6025.5054,-90653.7891
-5487.0996,-90998.4531
-5082.9976,-92140.1953
-4652.3325,-92636.4297
-5782.5229,-93228.3203
-6569.1724,-93286.4687
-7525.4517,-93696.8359
-8783.3711,-93898.2891
-9512.252,-94506.2109
-9790.7197,-94356.375
-10596.1885,-94557.1875
-11764.4678,-94365.5703
-12545.584,-94733.9453
-12995.1631,-94763.2422
-13579.8506,-94509.5234
-14598.0898,-94870.6172
-15096.3057,-94512.7109
-15431.9736,-94519.8281
-15659.0752,-94948.875
-16459.7539,-94983.0625
-16651.0488,-95147.5312
-17283.1973,-94821.1719
-18954.918,-94684.4375
-19455.8477,-94914.7266
-19787.9375,-94730.625
-20160.6582,-94781.9062
-20620.4629,-95184.2969
-21645.1934,-95500.8828
-22196.1484,-95389.4766
-24550.7051,-96022.7266
-25697.5352,-95917.9297
-26460.0605,-96502.3125
-26978.2676,-97226.1953
-27586.6152,-97244.4531
-28031.4375,-97620.2891
-28785.084,-97776.9453
-29137.1758,-98034.5156
-29129.0215,-98353.8437
-30276.0664,-99078.3359
-31030.084,-99287.8281
-31407.1602,-99195.7031
-31712.5039,-99289.2031
-31791.8613,-99500.0859
-32234.3477,-99597.7422
-33028.5898,-99427.7812
-33663.4961,-99087.5547
-34150.1328,-99067.3594
-34500.0703,-99503.8125
-34940.3281,-99423.9844
-35070.9023,-99709.1172
-35621.3711,-99826.4141
-36052.2227,-100434.3906
-36031.5312,-100633.1562
-36784.832,-100611.5234
-37010.8711,-100859.5781
-37376.8984,-100699.7031
-38030.5898,-101143.5625
-39162.3984,-101323.5625
-40137.125,-101844.9375
-40447.9102,-101747.9219
-40599.6875,-101897.6484
-41108.2656,-101911.5703
-41720.8672,-102401.6094
-42317.5781,-102151.5078
-53210.273,-112962.5572
-52768.0937,-113045.75
-52544.375,-113610.0937
-52270.6797,-113618.25
-52010.5528,-113856.5239
-52080.9369,-114452.7813
-52276.086,-114453.3437
-52282.8812,-114858.289
-52477.5565,-114855.1332
-52514.1561,-118088.5523
-58333.8091,-118005.0639
-81972.5312,-141437.375
-83244.9922,-140157.0312
-101679.0703,-130539.0312
-101790.1719,-129493.5703
-102017.4766,-129363.3828
-102402.2266,-128196.2734
-102572.4531,-128081.1484
-102642.1484,-127329.6172
-103593.7812,-126901.1797
-103841.4062,-126174.5781
-103792.3516,-125705.1328
-104055.7266,-125129.8437
-104495.2734,-125055.8203
-105389.0312,-123857.8125
-105264.8437,-123193.5703
-105359.1094,-122453.2734
-105920.3594,-121992.8203
-106613.6016,-121839.3594
-107467.1875,-122145.8281
-108248.7266,-121891.8672
-108684.8437,-122289.4609
-108908.4922,-121184.7812
-109431.7969,-121036.2031
-109808.9766,-120464.8125
-109323,-118841.4062
-108993.3672,-118428.9375
-108668.4062,-118376.0937
-108334.1719,-118085.2734
-107725.0703,-117062.5469
-108229.6562,-116558.0312
-108217.9922,-116372
-108959.8672,-115959.1875
-109371.5781,-115921.1094
-110047.5078,-115311.9609
-110648.8984,-114326.5937
-110734.5469,-113564.2422
-110447.6328,-112983.2969
-110147.6797,-112587.6562
-109499.8906,-112492.9219
-109899.6797,-111435
-109579,-111100.4062
-110110.0234,-110174.8828
-110710.4375,-109612.1875
-110789.2734,-108801.6875
-110129.5469,-108837.3672
-109965.7109,-108572.2109
-109810.9922,-108655.2812
-109759.7734,-108393.3203
-109359.4062,-108204.8203
-108548.6484,-108125.5234
-108720.4766,-106498.2969
-108601.8672,-106271.0625
-108244.0703,-106266.1094
-107921.7734,-106023.2734
-107635.2891,-106166.8984
-107291.9766,-105483.2734
-107442.4766,-105075.8672
-107369.7109,-104805.8437
-107843.7969,-104750.4687
-108102.4062,-104237.6875
-108577.8125,-104043.4766
-108644.8125,-103617.9531
-109298.2109,-103010.2187
-109844.1016,-102675.9766
-110096.9531,-102797.25
-110429.8828,-102564.2187
-110455.1562,-102375.7734
-110179.8437,-102068.5469
-109651.2187,-101946.9766
-109416.1562,-101651.0391
-109106.9766,-101577.8984
-109084.6328,-100802.4219
-108682.0234,-100410.0625
-108809.7734,-100044.4609
-108314.2812,-99493.1875
-108282.0391,-99142.4375
-107973.7266,-98770.8828
-108347.2266,-98341.6328
-108468.3828,-97703.1641
-108863.7969,-97310.0625
-85310.6172,-74150.9531
-85743.5937,-74133.9219
-85970.4141,-73785.2266
-86365.5156,-73671.9531
-86360.5703,-73192.6016
-86541.4453,-72859.6641
-86473.6172,-72385.5625
-86800.6406,-71932.4687
-86121.6719,-71612.3594
-86521.3984,-71211.5703
-86420.4922,-70956.9844
-86111.8672,-70956.2812
-86055.0547,-70802.5234
-86381.1953,-70567.6562
-86883.8359,-70772.6328
-87055.0703,-70703.3047
-87093.7422,-70284.1875
-86834.6016,-69723.2344
-86931.5469,-69598.8906
-87525.7656,-69460.4844
-87705.3672,-69899.4375
-87844.1953,-69819.8672
-87883.3125,-69448.8359
-87643.75,-69290.3672
-87518.1406,-68579.3516
-87037.6172,-68132.9219
-34174.0508,-42491.0703
-32680.666,-45618.5625
